NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Júlio César,Botafogo,Liga do Brasil,LB,71,54,45,45,47,72,76
Victor,,,,71.77,71.44,59.85,64.72,67.42,59.436,66.17
Dani Alves,FC Barcelona,Liga BBVA,RB,91,78,93,84,91,56,83
Thiago Silva,Paris Saint-Germain,Ligue 1,CB,94,87,68,81,79,95,91
David Luiz,Paris Saint-Germain,Ligue 1,CB,83,78,76,83,82,74,69
Marcelo,Real Madrid,Liga BBVA,LB,84,89,86,77,88,56,67
Dante,Bayern München,Bundesliga,CB,84,76,78,83,87,52,62
Maxwell,Paris Saint-Germain,Ligue 1,LB,80,76,82,77,85,45,65
Henrique,Napoli,Serie A,CB,76,89,70,71,84,37,50
Maicon,Roma,Serie A,RB,85,68,51,69,61,89,87
Fernandinho,Manchester City,Barclays PL,CM,82,92,77,78,88,53,54
Paulinho,CONMEBOL,World Cup,CM,81,85,61,78,81,87,66
Oscar,Chelsea,Barclays PL,RM,86,85,81,86,89,48,56
Ramires,CONMEBOL,World Cup,CDM,82,85,89,77,87,45,44
Luiz Gustavo,VfL Wolfsburg,Bundesliga,CDM,82,50,72,79,74,80,83
Hernanes,Inter,Serie A,CM,83,75,51,72,67,82,82
Willian,Chelsea,Barclays PL,LW,83,72,56,78,76,83,76
Hulk,Zenit St. Petersburg,Russian League,RM,90,89,92,69,88,63,88
Fred,Fluminense,Liga do Brasil,ST,82,66,81,82,82,43,80
Neymar,FC Barcelona,Liga BBVA,LW,90,65,85,92,88,82,77
Bernard,CONMEBOL,World Cup,CAM,80,79,82,79,81,56,69
Jô,Atlético Mineiro,Liga do Brasil,ST,80,83,76,78,82,74,73
